pca_1,pca_2,category,split,sample_id,window_start
0.312865674495697,-0.7876602411270142,Demonstrated Action,Training support,episode49,2
0.010759619995951653,-0.6638091206550598,Demonstrated Action,Training support,episode26,5
0.01261247880756855,-0.6640379428863525,Demonstrated Action,Training support,episode8,5
0.17065276205539703,-0.6265940070152283,Demonstrated Action,Training support,episode33,5
0.34048396348953247,-0.8278480768203735,Demonstrated Action,Training support,episode28,2
-0.012955226935446262,-0.6921500563621521,Demonstrated Action,Training support,episode43,4
-0.048341285437345505,-0.7858465909957886,Demonstrated Action,Training support,episode39,1
0.3601089119911194,-0.848266065120697,Demonstrated Action,Training support,episode7,1
0.2426179051399231,-0.7060896754264832,Demonstrated Action,Training support,episode47,4
0.3353700041770935,-0.8012605309486389,Demonstrated Action,Training support,episode20,1
0.3356820046901703,-0.8191708922386169,Demonstrated Action,Training support,episode12,1
0.04027627408504486,-0.6006467342376709,Demonstrated Action,Training support,episode5,5
-0.04622716084122658,-0.7450544834136963,Demonstrated Action,Training support,episode24,2
0.24262087047100067,-0.7114604711532593,Demonstrated Action,Training support,episode6,4
-0.8002501130104065,0.2987727224826813,Demonstrated Action,Training support,episode25,15
0.3285976052284241,-0.7956103682518005,Demonstrated Action,Training support,episode46,2
0.0496959313750267,-0.6009225845336914,Demonstrated Action,Training support,episode27,5
0.00272787525318563,-0.6681633591651917,Demonstrated Action,Training support,episode41,5
0.9608959555625916,0.8636881113052368,Demonstrated Action,Training support,episode35,82
0.29827240109443665,-0.12709887325763702,Demonstrated Action,Training support,episode0,12
-0.03009858913719654,-0.7199608087539673,Demonstrated Action,Training support,episode38,3
0.43475955724716187,0.14683730900287628,Demonstrated Action,Training support,episode1,13
-0.8166809678077698,0.323790580034256,Demonstrated Action,Training support,episode22,19
-0.055722106248140335,-0.75074303150177,Demonstrated Action,Training support,episode4,2
-0.05778507888317108,-0.7639805674552917,Demonstrated Action,Training support,episode21,2
-0.03338310122489929,-0.7561489343643188,Demonstrated Action,Training support,episode19,2
0.3162420094013214,-0.7844300866127014,Demonstrated Action,Training support,episode40,2
0.35416117310523987,-0.835400402545929,Demonstrated Action,Training support,episode32,1
0.31291911005973816,-0.7871364951133728,Demonstrated Action,Training support,episode30,2
-0.026156499981880188,-0.7236965298652649,Demonstrated Action,Training support,episode10,3
-0.0140701774507761,-0.6924102902412415,Demonstrated Action,Training support,episode3,4
0.3054782450199127,-0.15982353687286377,Demonstrated Action,Training support,episode11,12
0.004766384605318308,-0.6604790687561035,Demonstrated Action,Training support,episode17,5
-0.04312103986740112,-0.7571742534637451,Demonstrated Action,Training support,episode45,2
-0.05653313174843788,-0.7505410313606262,Demonstrated Action,Training support,episode9,2
0.3471386432647705,-0.0370381623506546,Demonstrated Action,Training support,episode34,13
0.33073464035987854,-0.818393349647522,Demonstrated Action,Training support,episode15,2
0.008680714294314384,-0.6726329326629639,Demonstrated Action,Training support,episode2,5
0.028181539848446846,-0.6400970220565796,Demonstrated Action,Training support,episode29,6
0.01355031318962574,-0.6672503352165222,Demonstrated Action,Training support,episode23,5
0.3229595124721527,-0.09383849054574966,Demonstrated Action,Training support,episode13,12
0.3055030405521393,-0.7713432908058167,Demonstrated Action,Training support,episode18,2
0.1594715565443039,-0.6373663544654846,Demonstrated Action,Training support,episode42,6
0.7249616384506226,0.4045463800430298,Demonstrated Action,Training support,episode16,36
0.31226786971092224,-0.7876381278038025,Demonstrated Action,Training support,episode37,2
0.8057748675346375,0.5356219410896301,Demonstrated Action,Training support,episode36,38
0.3101572096347809,-0.7834951877593994,Demonstrated Action,Training support,episode44,2
0.33514511585235596,-0.10311508178710938,Demonstrated Action,Training support,episode48,13
-0.03100239299237728,-0.7587162852287292,Demonstrated Action,Training support,episode31,2
-0.033961694687604904,-0.7494335770606995,Demonstrated Action,Training support,episode14,2
0.00476642232388258,-0.6604796648025513,Cross-State Replay,Training support,state_ep0001_seed0001__action_ep0017_seed0021,5
0.3055029809474945,-0.7713427543640137,Cross-State Replay,Training support,state_ep0000_seed0000__action_ep0018_seed0023,2
0.3053569197654724,-0.15994487702846527,Cross-State Replay,Training support,state_ep0003_seed0003__action_ep0011_seed0013,12
-0.0333830863237381,-0.7561490535736084,Cross-State Replay,Training support,state_ep0003_seed0003__action_ep0019_seed0026,2
-0.03396165370941162,-0.7494335174560547,Cross-State Replay,Training support,state_ep0004_seed0004__action_ep0014_seed0016,2
-0.03338310867547989,-0.7561485767364502,Cross-State Replay,Training support,state_ep0002_seed0002__action_ep0019_seed0026,2
-0.03338276967406273,-0.7561485171318054,Cross-State Replay,Training support,state_ep0004_seed0004__action_ep0019_seed0026,2
0.3356821537017822,-0.8191708922386169,Cross-State Replay,Training support,state_ep0000_seed0000__action_ep0012_seed0014,1
0.3307346701622009,-0.8183937668800354,Cross-State Replay,Training support,state_ep0000_seed0000__action_ep0015_seed0018,2
0.7249616384506226,0.4045460522174835,Cross-State Replay,Training support,state_ep0002_seed0002__action_ep0016_seed0019,36
-0.033383093774318695,-0.7561486959457397,Cross-State Replay,Training support,state_ep0000_seed0000__action_ep0019_seed0026,2
0.004748817067593336,-0.660495400428772,Cross-State Replay,Training support,state_ep0000_seed0000__action_ep0017_seed0021,5
0.32295945286750793,-0.09383846819400787,Cross-State Replay,Training support,state_ep0003_seed0003__action_ep0013_seed0015,12
-0.03396167606115341,-0.749433696269989,Cross-State Replay,Training support,state_ep0002_seed0002__action_ep0014_seed0016,2
0.3051678240299225,-0.16013704240322113,Cross-State Replay,Training support,state_ep0000_seed0000__action_ep0011_seed0013,12
0.004735566210001707,-0.6605083346366882,Cross-State Replay,Training support,state_ep0002_seed0002__action_ep0017_seed0021,5
-0.03338277339935303,-0.7561486959457397,Cross-State Replay,Training support,state_ep0001_seed0001__action_ep0019_seed0026,2
0.33568188548088074,-0.8191709518432617,Cross-State Replay,Training support,state_ep0001_seed0001__action_ep0012_seed0014,1
-0.026165369898080826,-0.7237038016319275,Cross-State Replay,Training support,state_ep0004_seed0004__action_ep0010_seed0011,3
0.3053569197654724,-0.15994495153427124,Cross-State Replay,Training support,state_ep0004_seed0004__action_ep0011_seed0013,12
-0.026156358420848846,-0.7236966490745544,Cross-State Replay,Training support,state_ep0001_seed0001__action_ep0010_seed0011,3
